 ;Area;Mean;Min;Max;Angle;Length
1;260.447;161.170;42.030;207.731;-60.856;254.102
2;251.033;160.071;42.047;176.999;-61.179;243.971
3;236.389;162.393;42.039;175.432;-61.044;230.261
4;225.930;168.383;42.062;201.000;-61.645;219.648
5;216.516;165.871;42.047;178.972;-61.323;210.994
6;212.332;166.787;42.049;177.834;-61.276;206.424
7;285.550;172.876;43.889;234.430;-49.467;278.546
8;280.320;173.068;43.914;224.824;-49.096;273.336
9;274.044;172.998;43.898;217.119;-49.041;266.793
10;267.769;171.261;43.861;216.278;-49.301;260.354
11;262.539;171.723;43.917;215.529;-49.051;255.921
12;257.309;170.758;43.924;213.660;-48.968;250.821
;;;;;;
;C_Generada;C_Manipulador;Error_Absoluto;Error_Relativo;Error_Porcentual;
1;254,1020;278,5460;24,4440;0,0962;9,6%;
2;243,9710;273,3360;29,3650;0,1204;12,0%;
3;230,2610;266,7930;36,5320;0,1587;15,9%;
4;219,6480;260,3540;40,7060;0,1853;18,5%;
5;210,9940;255,9210;44,9270;0,2129;21,3%;
6;206,4240;250,8210;44,3970;0,2151;21,5%;
Promedio;227,5667;264,2952;;;16,5%;
;C_Generada;C_Manipulador;;;;
Des_estandar;18,79;10,57;;;;
